contig	contig_length	window	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	US-CAOx	US-WIOr	JP-Hok	DE-Jen2	JP-Kan	FR-Lez2	IT-Tre2
NW_023496800.1	25589241	0	0.0014212261446888493	0.0017635045863929446	0.0017355511758269568	0.0021669311030002086	0.0021997872106383717	0.0016840081167108724	0.002097121864230034	0.001683254176502172	0.0022725068554119913	0.002947241437557926	0.0025388639684619106	0.0022511396764598943	0.0018152870424608363	0.001983724731474623	0.005597881089097468	0.0018928577194247862	0.0016653010747704332	0.001631247767486513	0.001694812221979339	0.0022410091953723107	0.0018507180531252094	0.002318437608756722	0.004217607932902409	0.004238424919794108	0.002452902901606733	0.004825711755667581	0.004474236478858486	0.003590481602603968	0.0023672456190666244
NW_023496800.1	25589241	1	0.0020398017132844423	0.0023639543037980238	0.0022120567029039837	0.0026092641816002713	0.0027839169465981683	0.0021616590464695294	0.0024884866350503828	0.002248099992783454	0.0025978339337655457	0.0037012803664885157	0.0031086644769754332	0.0026915729485982574	0.0023065883994086837	0.002513648414470017	0.007943376337427527	0.0023134114916554304	0.0022637173491538046	0.0021904242195294596	0.0018973937060353	0.002617230047198093	0.002271678175606752	0.0028000515178841856	0.004370032375557424	0.004149580256022017	0.0029872524130715753	0.004688305723065111	0.004475056861222211	0.003879182099718297	0.002825265613835306
NW_023496800.1	25589241	2	0.0035268497143435707	0.004333838990064469	0.004041132133951493	0.004639924419017664	0.004832835027773739	0.004113804641675959	0.0042054661078887645	0.004014969147773792	0.004384317903903072	0.005897914616284965	0.005063644646961346	0.004651105220802117	0.00420831589634986	0.004394248728994799	0.01110680697147572	0.004207942075159831	0.0041157935494751715	0.0038731254509935106	0.004325807125278053	0.004531476846864948	0.004128208276482262	0.0046354154701004424	0.005720490259366239	0.005736014207514062	0.0048933866422453875	0.005492671436022073	0.005588592753237491	0.005002898516603433	0.004477696736797036
NW_023496800.1	25589241	3	0.007380892717626602	0.008441121483337578	0.008286398088260715	0.008830029637511186	0.008844776436412275	0.00805384652667419	0.008188846038232816	0.008120885306907718	0.008491494071653678	0.00992566863938485	0.008968684087262195	0.008885474975351226	0.008006609021788411	0.00818351157284631	0.013442423999917703	0.007987884090108786	0.007587946623536182	0.00751773684418389	0.007280377290570126	0.008227888473834445	0.00767805239312716	0.008716918250851259	0.008236523563151148	0.008891344353147892	0.00893348227011669	0.009357361900092015	0.009379048527156356	0.008866949798520405	0.008408241023737884
NW_023496800.1	25589241	4	0.00849622536058629	0.010462507891409805	0.010464271491801897	0.010799779590676323	0.011073852369379281	0.010246001869500174	0.010302743878925888	0.010324536425553121	0.01077957976926515	0.012114166030725354	0.011166994511104597	0.011063315738575243	0.009837102121185218	0.010173372055127137	0.015954681498966488	0.009977946161968797	0.009679666240483331	0.0093815824516636	0.009269673042344877	0.010180267968851544	0.009428843504010881	0.01072904761468827	0.010884141579490542	0.010750153484344044	0.01111923426085741	0.011361525175631606	0.01146234106824534	0.010887924595937204	0.010446598427996697
NW_023496800.1	25589241	5	0.011824915507836398	0.01386302707850891	0.013820330158860748	0.015072414056640782	0.015157085902265586	0.013568737414976504	0.013602544204936373	0.013585714634858746	0.014062782359513207	0.01602819919784155	0.01504449293073415	0.015008404551988179	0.013342658331670405	0.013860239675716651	0.01913869349409936	0.01337967772328225	0.013015730874415423	0.012580369010471128	0.012511047860269516	0.013562400106597544	0.012779342964097998	0.014095372821143691	0.013696787001205638	0.014176042133578037	0.015204490434865433	0.014446059305949747	0.015428496090150392	0.014522387788251847	0.013732141619399256
NW_023496800.1	25589241	6	0.012174189574666226	0.014153004269987748	0.01375613623761145	0.015260821781627626	0.015405976327660813	0.013223051139101362	0.013455465618670953	0.013804351285174186	0.013999837324848257	0.016479479317245815	0.015583896960535588	0.015008476955379272	0.013997288612529905	0.014228444395276953	0.020049994801045343	0.013615887906303224	0.013199529794248148	0.012869154473506656	0.012864583585043799	0.014123784549335319	0.013439457390667901	0.013953408234281935	0.014945465471755218	0.01481698358545447	0.015369766401513357	0.01477548165035051	0.01591045631692086	0.014402806188965103	0.013474456360785928
NW_023496800.1	25589241	7	0.012424858940352113	0.014789001301981153	0.01445587623356383	0.015188759182220691	0.015652640813806993	0.014388929427634745	0.014362724097621925	0.014372232129172383	0.014799306636537772	0.016488564657990517	0.01571278095687342	0.01516131246189234	0.014318675472251827	0.014509125158935234	0.019755061024255952	0.01394274009259091	0.013895439893374897	0.013652816986552428	0.013597493855092317	0.01485597282878547	0.013854489661239679	0.014699598411041646	0.01514827094548048	0.01529291762683248	0.015640560379675678	0.015381141551718628	0.015877102696938556	0.014987321985723166	0.014358016269496999
NW_023496800.1	25589241	8	0.01651189540438758	0.017928798726072514	0.017803341752791656	0.018808250902120172	0.0192090746938796	0.017311399340949923	0.01725592731555767	0.017628570531574867	0.01774506802607007	0.020155539707770235	0.019019185013194974	0.0189920847006709	0.01736702643357156	0.017950055670448925	0.022358438197700888	0.017445128173413756	0.016923926098623664	0.01681539268117977	0.01625963351523393	0.01772640564378597	0.01699458467105375	0.017814444004266287	0.01807446264705543	0.018274850071940595	0.019265798613682	0.01835758885449729	0.01931494508327358	0.01823532613858335	0.017510885447216285
NW_023496800.1	25589241	9	0.014160914713644971	0.016028355125852448	0.01565592873295515	0.016940174703150547	0.017282915105696756	0.0154336424454229	0.015046595348917712	0.01563130936689476	0.015605896478785426	0.01797256145670516	0.01695117987152463	0.017137010982571744	0.015703661734572792	0.01632339142359931	0.02134596324441341	0.01569442818021879	0.015113308277779014	0.015093619313399032	0.014029585015166	0.01591657623085562	0.015322040219869418	0.01561764258059839	0.017064165429822656	0.016835072646402653	0.017200219742020115	0.016777107153042578	0.01754553600234873	0.016324143501753	0.015417452113780069
